planet_name,star_num,planet_num,moon_num,discovery_ref,pl_orbper,pl_rade,pl_masse,stellar_rad,stellar_mass,distance
GJ 3779 b,1,1,0,<a refstr=LUQUE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...620A.171L/abstract target=ref>Luque et al. 2018</a>,3.0232,,,0.28,0.27,13.743
47 UMa b,1,3,0,<a refstr=BUTLER___MARCY_1996 href=https://ui.adsabs.harvard.edu/abs/1996ApJ...464L.153B/abstract target=ref> Butler & Marcy 1996 </a>,1083.2,,,,,13.7967
47 UMa b,1,3,0,<a refstr=BUTLER___MARCY_1996 href=https://ui.adsabs.harvard.edu/abs/1996ApJ...464L.153B/abstract target=ref> Butler & Marcy 1996 </a>,1076.6,,,,1.06,13.7967
47 UMa b,1,3,0,<a refstr=BUTLER___MARCY_1996 href=https://ui.adsabs.harvard.edu/abs/1996ApJ...464L.153B/abstract target=ref> Butler & Marcy 1996 </a>,1100.8,,,,,13.7967
47 UMa b,1,3,0,<a refstr=BUTLER___MARCY_1996 href=https://ui.adsabs.harvard.edu/abs/1996ApJ...464L.153B/abstract target=ref> Butler & Marcy 1996 </a>,1078,,,1.21,1.06,13.7967
47 UMa c,1,3,0,<a refstr=FISCHER_ET_AL__2002 href=https://ui.adsabs.harvard.edu/abs/2002ApJ...564.1028F/abstract target=ref> Fischer et al. 2002 </a>,7586,,,,,13.7967
47 UMa c,1,3,0,<a refstr=FISCHER_ET_AL__2002 href=https://ui.adsabs.harvard.edu/abs/2002ApJ...564.1028F/abstract target=ref> Fischer et al. 2002 </a>,2391,,,1.21,1.06,13.7967
47 UMa d,1,3,0,<a refstr=GREGORY___FISCHER_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403..731G/abstract target=ref> Gregory &amp; Fischer 2010 </a>,14002,,,1.21,1.06,13.7967
TOI-540 b,1,1,0,<a refstr=MENT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200913623M/abstract target=ref>Ment et al. 2020</a>,1.2391491,0.903,,0.19,0.16,14.0022
TOI-540 b,1,1,0,<a refstr=MENT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200913623M/abstract target=ref>Ment et al. 2020</a>,1.239211,0.905,,0.2,,14.0022
gam Cep b,2,1,0,<a refstr=HATZES_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1383H/abstract target=ref> Hatzes et al. 2003 </a>,905.574,,,4.66,1.59,14.1024
gam Cep b,2,1,0,<a refstr=HATZES_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003ApJ...599.1383H/abstract target=ref> Hatzes et al. 2003 </a>,903.3,,,4.9,1.4,14.1024
GJ 480 b,1,1,0,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200807998F/abstract target=ref>Feng et al. 2020</a>,9.567,,,,0.45,14.2358
GJ 685 b,1,1,0,<a refstr=PINAMONTI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A.126P/abstract target=ref>Pinamonti et al. 2019</a>,24.16,,,0.54,0.55,14.3155
HIP 79431 b,1,1,0,<a refstr=APPS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010PASP..122..156A/abstract target=ref> Apps et al. 2010 </a>,111.7,,,0.48,0.48,14.5324
GJ 1214 b,1,1,0,<a refstr=CHARBONNEAU_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009Natur.462..891C/abstract target=ref> Charbonneau et al. 2009 </a>,1.58040481,,,0.21,,14.6427
GJ 1214 b,1,1,0,<a refstr=CHARBONNEAU_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009Natur.462..891C/abstract target=ref> Charbonneau et al. 2009 </a>,1.58040482,2.65,6.45,0.21,0.16,14.6427
GJ 1214 b,1,1,0,<a refstr=CHARBONNEAU_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009Natur.462..891C/abstract target=ref> Charbonneau et al. 2009 </a>,1.58040465,,,0.21,0.18,14.6427
GJ 1214 b,1,1,0,<a refstr=CHARBONNEAU_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009Natur.462..891C/abstract target=ref> Charbonneau et al. 2009 </a>,1.5804049,2.64,,0.21,0.16,14.6427
GJ 1214 b,1,1,0,<a refstr=CHARBONNEAU_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009Natur.462..891C/abstract target=ref> Charbonneau et al. 2009 </a>,1.5804043,2.61,,0.2,,14.6427
GJ 1214 b,1,1,0,<a refstr=CHARBONNEAU_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009Natur.462..891C/abstract target=ref> Charbonneau et al. 2009 </a>,1.5803925,2.678,6.55,0.21,0.16,14.6427
GJ 1214 b,1,1,0,<a refstr=CHARBONNEAU_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009Natur.462..891C/abstract target=ref> Charbonneau et al. 2009 </a>,1.58040482,2.27,6.43,0.18,0.16,14.6427
GJ 1214 b,1,1,0,<a refstr=CHARBONNEAU_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009Natur.462..891C/abstract target=ref> Charbonneau et al. 2009 </a>,1.58040487,2.74,6.37,0.21,0.15,14.6427
GJ 1214 b,1,1,0,<a refstr=CHARBONNEAU_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009Natur.462..891C/abstract target=ref> Charbonneau et al. 2009 </a>,1.58040417,,,0.22,0.18,14.6427
GJ 1214 b,1,1,0,<a refstr=CHARBONNEAU_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009Natur.462..891C/abstract target=ref> Charbonneau et al. 2009 </a>,1.58040456,2.847,6.26125,0.22,0.15,14.6427
GJ 1214 b,1,1,0,<a refstr=CHARBONNEAU_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009Natur.462..891C/abstract target=ref> Charbonneau et al. 2009 </a>,1.58040481,,,,,14.6427
GJ 1214 b,1,1,0,<a refstr=CHARBONNEAU_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009Natur.462..891C/abstract target=ref> Charbonneau et al. 2009 </a>,1.58040494,,,0.21,0.18,14.6427
GJ 1214 b,1,1,0,<a refstr=CHARBONNEAU_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009Natur.462..891C/abstract target=ref> Charbonneau et al. 2009 </a>,1.58040835,,,0.21,0.18,14.6427
GJ 1214 b,1,1,0,<a refstr=CHARBONNEAU_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009Natur.462..891C/abstract target=ref> Charbonneau et al. 2009 </a>,,,,0.2,,14.6427
HD 136352 b,1,3,0,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,11.57779,1.482,4.62,1.01,0.91,14.682
HD 136352 b,1,3,0,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,11.5824,,,,0.81,14.682
HD 136352 c,1,3,0,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,27.5821,,,,0.81,14.682
HD 136352 c,1,3,0,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,27.5909,2.608,11.29,1.01,0.91,14.682
HD 136352 d,1,3,0,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,107.63,,,1.01,0.91,14.682
HD 136352 d,1,3,0,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,107.5983,,,,0.81,14.682
LHS 3844 b,1,1,0,<a refstr=VANDERSPEK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...871L..24V/abstract target=ref>Vanderspek et al. 2019</a>,0.462884,1.354,,0.19,,14.8846
LHS 3844 b,1,1,0,<a refstr=VANDERSPEK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...871L..24V/abstract target=ref>Vanderspek et al. 2019</a>,0.46292913,1.303,,0.19,0.15,14.8846
Gl 378 b,1,1,0,<a refstr=HOBSON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..18H/abstract target=ref>Hobson et al. 2019</a>,3.822,,,0.56,0.56,14.9545
LHS 1140 b,1,2,0,<a refstr=DITTMANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.544..333D/abstract target=ref>Dittmann et al. 2017</a>,24.736959,1.727,6.98,0.21,0.18,14.9861
LHS 1140 b,1,2,0,<a refstr=DITTMANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.544..333D/abstract target=ref>Dittmann et al. 2017</a>,24.73712,1.43,6.65,0.19,0.15,14.9861
LHS 1140 c,1,2,0,<a refstr=MENT_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...32M/abstract target=ref>Ment et al. 2019</a>,3.777931,1.282,1.81,0.21,0.18,14.9861
GJ 163 b,1,3,0,<a refstr=BONFILS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.110B/abstract target=ref> Bonfils et al. 2013 </a>,8.63182,,,,,15.1285
GJ 163 c,1,3,0,<a refstr=BONFILS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.110B/abstract target=ref> Bonfils et al. 2013 </a>,25.63058,,,,,15.1285
GJ 163 d,1,3,0,<a refstr=BONFILS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.110B/abstract target=ref> Bonfils et al. 2013 </a>,603.95116,,,,,15.1285
GJ 317 b,1,2,0,<a refstr=JOHNSON_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...670..833J/abstract target=ref> Johnson et al. 2007 </a>,692.9,,,,0.26,15.1968
GJ 317 b,1,2,0,<a refstr=JOHNSON_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...670..833J/abstract target=ref> Johnson et al. 2007 </a>,695.66,,,,0.42,15.1968
GJ 317 b,1,2,0,<a refstr=JOHNSON_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...670..833J/abstract target=ref> Johnson et al. 2007 </a>,692,,794.5,,0.42,15.1968
GJ 317 c,1,2,0,<a refstr=BRYAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...821...89B/abstract target=ref>Bryan et al. 2016</a>,5312,,,,0.24,15.1968
GJ 317 c,1,2,0,<a refstr=BRYAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...821...89B/abstract target=ref>Bryan et al. 2016</a>,6739.323,,,,0.42,15.1968
GJ 317 c,1,2,0,<a refstr=BRYAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...821...89B/abstract target=ref>Bryan et al. 2016</a>,10000,,,,0.42,15.1968
51 Peg b,1,1,0,<a refstr=MAYOR___QUELOZ_1995 href=https://ui.adsabs.harvard.edu/abs/1995Natur.378..355M/abstract target=ref> Mayor & Queloz 1995 </a>,4.230785,,,1.18,1.03,15.4614
51 Peg b,1,1,0,<a refstr=MAYOR___QUELOZ_1995 href=https://ui.adsabs.harvard.edu/abs/1995Natur.378..355M/abstract target=ref> Mayor & Queloz 1995 </a>,4.23077,,,,,15.4614
51 Peg b,1,1,0,<a refstr=MAYOR___QUELOZ_1995 href=https://ui.adsabs.harvard.edu/abs/1995Natur.378..355M/abstract target=ref> Mayor & Queloz 1995 </a>,4.231,,146.2018,,1.04,15.4614
51 Peg b,1,1,0,<a refstr=MAYOR___QUELOZ_1995 href=https://ui.adsabs.harvard.edu/abs/1995Natur.378..355M/abstract target=ref> Mayor & Queloz 1995 </a>,4.2293,,,1.29,,15.4614
HD 160691 b,1,4,0,<a refstr=BUTLER_ET_AL__2001 href=https://ui.adsabs.harvard.edu/abs/2001ApJ...555..410B/abstract target=ref> Butler et al. 2001 </a>,643.25,,,,1.08,15.5981
HD 160691 b,1,4,0,<a refstr=BUTLER_ET_AL__2001 href=https://ui.adsabs.harvard.edu/abs/2001ApJ...555..410B/abstract target=ref> Butler et al. 2001 </a>,646.485,,,1.38,1.03,15.5981
HD 160691 b,1,4,0,<a refstr=BUTLER_ET_AL__2001 href=https://ui.adsabs.harvard.edu/abs/2001ApJ...555..410B/abstract target=ref> Butler et al. 2001 </a>,743,,,,1.08,15.5981
HD 160691 b,1,4,0,<a refstr=BUTLER_ET_AL__2001 href=https://ui.adsabs.harvard.edu/abs/2001ApJ...555..410B/abstract target=ref> Butler et al. 2001 </a>,637,,,,1.08,15.5981
HD 160691 b,1,4,0,<a refstr=BUTLER_ET_AL__2001 href=https://ui.adsabs.harvard.edu/abs/2001ApJ...555..410B/abstract target=ref> Butler et al. 2001 </a>,645.5,,,,1.08,15.5981
HD 160691 c,1,4,0,<a refstr=MCCARTHY_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...617..575M/abstract target=ref> McCarthy et al. 2004 </a>,4472.967,,,1.38,1.03,15.5981
HD 160691 c,1,4,0,<a refstr=MCCARTHY_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...617..575M/abstract target=ref> McCarthy et al. 2004 </a>,2986,,,,1.08,15.5981
HD 160691 c,1,4,0,<a refstr=MCCARTHY_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...617..575M/abstract target=ref> McCarthy et al. 2004 </a>,4205.8,,,,1.08,15.5981
HD 160691 d,1,4,0,<a refstr=SANTOS_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...426L..19S/abstract target=ref> Santos et al. 2004 </a>,9.55,,,,1.1,15.5981
HD 160691 d,1,4,0,<a refstr=SANTOS_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...426L..19S/abstract target=ref> Santos et al. 2004 </a>,9.6386,,,,1.08,15.5981
HD 160691 d,1,4,0,<a refstr=SANTOS_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...426L..19S/abstract target=ref> Santos et al. 2004 </a>,9.6369,,,1.38,1.03,15.5981
HD 160691 e,1,4,0,<a refstr=PEPE_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...462..769P/abstract target=ref> Pepe et al. 2007 </a>,307.475,,,1.38,1.03,15.5981
HD 160691 e,1,4,0,<a refstr=PEPE_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...462..769P/abstract target=ref> Pepe et al. 2007 </a>,310.55,,,,1.08,15.5981
tau Boo b,2,1,0,<a refstr=BORSA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...578A..64B/abstract target=ref>Borsa et al. 2015</a>,3.312463,,,,1.35,15.6521
tau Boo b,2,1,0,<a refstr=BORSA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...578A..64B/abstract target=ref>Borsa et al. 2015</a>,3.3128,,,,1.2,15.6521
tau Boo b,2,1,0,<a refstr=BORSA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...578A..64B/abstract target=ref>Borsa et al. 2015</a>,3.3124568,,,1.43,1.32,15.6521
tau Boo b,2,1,0,<a refstr=BORSA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...578A..64B/abstract target=ref>Borsa et al. 2015</a>,3.312433,,1891,1.46,1.34,15.6521
HD 190360 b,2,2,0,<a refstr=NAEF_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003A&A...410.1051N/abstract target=ref> Naef et al. 2003 </a>,2915.03687,,,1.14,0.99,16.0069
HD 190360 b,2,2,0,<a refstr=NAEF_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003A&A...410.1051N/abstract target=ref> Naef et al. 2003 </a>,2891,,,,0.96,16.0069
HD 190360 b,2,2,0,<a refstr=NAEF_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003A&A...410.1051N/abstract target=ref> Naef et al. 2003 </a>,2867.9,,,1.17,0.98,16.0069
HD 190360 b,2,2,0,<a refstr=NAEF_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003A&A...410.1051N/abstract target=ref> Naef et al. 2003 </a>,2915,,,1.17,0.98,16.0069
HD 190360 b,2,2,0,<a refstr=NAEF_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003A&A...410.1051N/abstract target=ref> Naef et al. 2003 </a>,3902,,,1.13,0.96,16.0069
HD 190360 b,2,2,0,<a refstr=NAEF_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003A&A...410.1051N/abstract target=ref> Naef et al. 2003 </a>,2889,,,,0.98,16.0069
HD 190360 c,2,2,0,<a refstr=VOGT_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005ApJ...632..638V/abstract target=ref> Vogt et al. 2005 </a>,17.1,,,,0.96,16.0069
HD 190360 c,2,2,0,<a refstr=VOGT_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005ApJ...632..638V/abstract target=ref> Vogt et al. 2005 </a>,17.111,,,1.17,0.98,16.0069
HD 190360 c,2,2,0,<a refstr=VOGT_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005ApJ...632..638V/abstract target=ref> Vogt et al. 2005 </a>,17.1186,,,1.17,0.98,16.0069
GJ 676 A b,2,4,0,<a refstr=FORVEILLE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...526A.141F/abstract target=ref> Forveille et al. 2011 </a>,1050.3,,,,0.71,16.0272
GJ 676 A b,2,4,0,<a refstr=FORVEILLE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...526A.141F/abstract target=ref> Forveille et al. 2011 </a>,1056.8,,,,,16.0272
GJ 676 A b,2,4,0,<a refstr=FORVEILLE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...526A.141F/abstract target=ref> Forveille et al. 2011 </a>,1051.1,,2129.461,,,16.0272
GJ 676 A b,2,4,0,<a refstr=FORVEILLE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...526A.141F/abstract target=ref> Forveille et al. 2011 </a>,1056.80005,,,0.69,0.73,16.0272
GJ 676 A c,2,4,0,<a refstr=SAHLMANN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...595A..77S/abstract target=ref>Sahlmann et al. 2016</a>,7337,,,,,16.0272
GJ 676 A d,2,4,0,<a refstr=ANGLADA_ESCUDE___TUOMI_2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...548A..58A/abstract target=ref> Anglada-Escude & Tuomi 2012 </a>,3.6005,,,,,16.0272
GJ 676 A d,2,4,0,<a refstr=ANGLADA_ESCUDE___TUOMI_2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...548A..58A/abstract target=ref> Anglada-Escude & Tuomi 2012 </a>,3.6,,,,0.71,16.0272
GJ 676 A e,2,4,0,<a refstr=ANGLADA_ESCUDE___TUOMI_2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...548A..58A/abstract target=ref> Anglada-Escude & Tuomi 2012 </a>,35.39,,,,,16.0272
GJ 676 A e,2,4,0,<a refstr=ANGLADA_ESCUDE___TUOMI_2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...548A..58A/abstract target=ref> Anglada-Escude & Tuomi 2012 </a>,35.37,,,,0.71,16.0272
HD 113538 b,1,2,0,<a refstr=MOUTOU_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...527A..63M/abstract target=ref> Moutou et al. 2011 </a>,663.2,,,0.53,0.58,16.2817
HD 113538 b,1,2,0,<a refstr=MOUTOU_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...527A..63M/abstract target=ref> Moutou et al. 2011 </a>,263.3,,,0.65,0.7,16.2817
HD 113538 c,1,2,0,<a refstr=MOUTOU_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...527A..63M/abstract target=ref> Moutou et al. 2011 </a>,1818,,,0.53,0.58,16.2817
HD 113538 c,1,2,0,<a refstr=MOUTOU_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...527A..63M/abstract target=ref> Moutou et al. 2011 </a>,1657,,,0.65,0.7,16.2817
GJ 143 b,1,2,0,<a refstr=TRIFONOV_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622L...7T/abstract target=ref>Trifonov et al. 2019</a>,35.613424,2.863,,0.71,,16.32
GJ 143 b,1,2,0,<a refstr=TRIFONOV_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622L...7T/abstract target=ref>Trifonov et al. 2019</a>,35.589,,30.63,0.73,0.76,16.32
GJ 143 b,1,2,0,<a refstr=TRIFONOV_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622L...7T/abstract target=ref>Trifonov et al. 2019</a>,35.61253,2.61,22.7,0.69,0.73,16.32
HD 21749 c,1,2,0,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,7.787068,1.076,,0.74,,16.32
HD 21749 c,1,2,0,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,7.78993,0.892,3.7,0.69,0.73,16.32
HD 128311 b,1,2,0,<a refstr=BUTLER_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003ApJ...582..455B/abstract target=ref> Butler et al. 2003 </a>,458.6,,,,0.84,16.3292
HD 128311 b,1,2,0,<a refstr=BUTLER_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003ApJ...582..455B/abstract target=ref> Butler et al. 2003 </a>,454.2,,,,0.83,16.3292
